run_at,mode,model,limit,batch_size,success,failed,skipped,csv_written,db_written,note
2026-05-01T15:11:40,translate-pending,gpt-4.1-mini,30,30,0,0,30,0,0,
2026-05-01T15:11:58,translate-pending,gpt-4.1-mini,120,30,0,0,52,0,0,
2026-05-01T15:12:04,translate-pending,gpt-4.1-mini,120,30,0,0,52,0,0,
2026-05-01T15:12:08,translate-pending,gpt-4.1-mini,120,30,0,0,52,0,0,
2026-05-01T15:12:24,translate-pending,gpt-4.1-mini,500,30,0,0,52,0,0,
2026-05-01T15:12:35,translate-pending,gpt-4.1-mini,500,500,0,0,52,0,0,
2026-05-01T15:12:47,translate-pending,gpt-4.1-mini,120,30,0,0,52,0,0,
2026-05-01T15:12:55,sync-db,,0,,0,0,474,0,0,dry-run
2026-05-01T15:13:13,sync-db,,0,,443,0,31,0,443,
2026-05-01T15:13:25,sync-db,,0,,443,0,31,0,443,
2026-05-01T15:16:15,translate-pending,gpt-4.1-mini,500,30,28,24,0,28,28,
2026-05-01T15:16:20,sync-db,,0,,450,0,24,0,450,
2026-05-01T15:18:13,translate-pending,gpt-4.1-mini,500,30,43,0,0,43,43,
2026-05-01T15:18:18,sync-db,,0,,474,0,0,0,474,
2026-05-01T15:28:37,translate-pending,gpt-4.1-mini,500,100,21,0,0,0,21,csv_only=False; reused_csv=21
2026-05-01T15:28:50,sync-db,,0,,474,0,0,0,474,
2026-05-01T15:29:20,sync-db,,0,,474,0,0,0,474,
2026-05-01T16:20:07,sync-db,,0,,474,0,0,0,474,
2026-05-02T06:07:00,sync-db,,0,,474,0,0,0,474,
2026-05-02T06:52:52,sync-db,,0,,474,0,0,0,474,
